id,question,answer
1,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹11865/month.
2,What is the rent for a shared room in Kharadi?,The rent for a executive room in Baner starts at ₹15590/month.
3,What is the rent for a private room in Kharadi?,The rent for a shared room in Kharadi starts at ₹19182/month.
4,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹10826/month.
5,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹11017/month.
6,What is the rent for a executive room in Baner?,The rent for a executive room in Hinjawadi starts at ₹12215/month.
7,What is the rent for a shared room in Talwade?,The rent for a executive room in Talwade starts at ₹14998/month.
8,What is the rent for a private room in Baner?,The rent for a private room in Baner starts at ₹19709/month.
9,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹10092/month.
10,What is the rent for a executive room in Baner?,The rent for a executive room in Hinjawadi starts at ₹16922/month.
11,What is the rent for a private room in Kharadi?,The rent for a shared room in Talwade starts at ₹17679/month.
12,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹19117/month.
13,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹11523/month.
14,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹18663/month.
15,What is the rent for a shared room in Baner?,The rent for a executive room in Baner starts at ₹18552/month.
16,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Baner starts at ₹10388/month.
17,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹13665/month.
18,What is the rent for a private room in Baner?,The rent for a private room in Talwade starts at ₹10090/month.
19,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹14146/month.
20,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹12183/month.
21,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹15065/month.
22,What is the rent for a executive room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹17184/month.
23,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹14122/month.
24,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹15314/month.
25,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹17842/month.
26,What is the rent for a shared room in Kharadi?,The rent for a executive room in Talwade starts at ₹11950/month.
27,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹17606/month.
28,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹13370/month.
29,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹8465/month.
30,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹11045/month.
31,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹12671/month.
32,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹16427/month.
33,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹15009/month.
34,What is the rent for a executive room in Kharadi?,The rent for a shared room in Baner starts at ₹17864/month.
35,What is the rent for a private room in Kharadi?,The rent for a shared room in Talwade starts at ₹14899/month.
36,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹13825/month.
37,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹13906/month.
38,What is the rent for a shared room in Kharadi?,The rent for a private room in Kharadi starts at ₹8009/month.
39,What is the rent for a shared room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹17073/month.
40,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹14425/month.
41,What is the rent for a shared room in Kharadi?,The rent for a private room in Kharadi starts at ₹19787/month.
42,What is the rent for a private room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹8048/month.
43,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹12624/month.
44,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹14237/month.
45,What is the rent for a executive room in Baner?,The rent for a private room in Hinjawadi starts at ₹9672/month.
46,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹10166/month.
47,What is the rent for a private room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹19536/month.
48,What is the rent for a executive room in Kharadi?,The rent for a shared room in Kharadi starts at ₹9981/month.
49,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹15648/month.
50,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹9141/month.
51,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹15541/month.
52,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹15097/month.
53,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹10471/month.
54,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹10574/month.
55,What is the rent for a executive room in Baner?,The rent for a private room in Talwade starts at ₹18091/month.
56,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹16580/month.
57,What is the rent for a executive room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹17195/month.
58,What is the rent for a executive room in Talwade?,The rent for a private room in Baner starts at ₹8137/month.
59,What is the rent for a shared room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹10384/month.
60,What is the rent for a shared room in Talwade?,The rent for a private room in Hinjawadi starts at ₹13211/month.
61,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹8543/month.
62,What is the rent for a private room in Kharadi?,The rent for a executive room in Baner starts at ₹11960/month.
63,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Talwade starts at ₹12532/month.
64,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹18219/month.
65,What is the rent for a executive room in Talwade?,The rent for a executive room in Talwade starts at ₹11061/month.
66,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹10735/month.
67,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹13100/month.
68,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹18500/month.
69,What is the rent for a executive room in Talwade?,The rent for a private room in Talwade starts at ₹11290/month.
70,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹19045/month.
71,What is the rent for a executive room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹16924/month.
72,What is the rent for a private room in Kharadi?,The rent for a executive room in Baner starts at ₹11273/month.
73,What is the rent for a shared room in Baner?,The rent for a shared room in Kharadi starts at ₹11260/month.
74,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹8970/month.
75,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹19892/month.
76,What is the rent for a private room in Talwade?,The rent for a private room in Hinjawadi starts at ₹8717/month.
77,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹11012/month.
