id,category,info,last_updated
1,Availability,1 Shared rooms available in Hinjawadi,2025-01-30
2,Pricing,Shared room in Talwade: ₹14192/month,2025-01-25
3,Offers,₹2000 off for 6-month stays,2025-01-08
4,Locations,"PGs available in Hinjawadi, Talwade, Kharadi",2025-01-06
5,Pricing,Shared room in Talwade: ₹11033/month,2025-01-23
6,Availability,8 Executive rooms available in Kharadi,2025-01-07
7,Offers,10% discount for new customers,2025-02-01
8,Pricing,Private room in Baner: ₹11867/month,2025-01-19
9,Offers,Free first-week meals,2025-01-24
10,Locations,"PGs available in Hinjawadi, Kharadi, Baner",2025-01-08
11,Availability,3 Private rooms available in Talwade,2025-01-31
12,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi",2025-01-29
13,Offers,10% discount for new customers,2025-01-29
14,Offers,₹2000 off for 6-month stays,2025-01-22
15,Availability,1 Private rooms available in Talwade,2025-01-14
16,Offers,Free first-week meals,2025-01-11
17,Pricing,Private room in Baner: ₹11728/month,2025-01-29
18,Locations,"PGs available in Talwade, Baner, Kharadi, Pimple Saudagar",2025-01-14
19,Pricing,Shared room in Talwade: ₹14319/month,2025-01-26
20,Pricing,Private room in Talwade: ₹11510/month,2025-02-02
21,Offers,Free first-week meals,2025-02-02
22,Offers,₹2000 off for 6-month stays,2025-01-24
23,Locations,"PGs available in Baner, Pimple Saudagar, Talwade, Hinjawadi, Kharadi",2025-01-28
24,Offers,10% discount for new customers,2025-01-27
25,Availability,4 Shared rooms available in Pimple Saudagar,2025-01-20
26,Availability,4 Private rooms available in Pimple Saudagar,2025-01-13
27,Availability,4 Shared rooms available in Hinjawadi,2025-01-22
28,Pricing,Private room in Kharadi: ₹16396/month,2025-01-10
29,Offers,Free first-week meals,2025-01-17
30,Availability,9 Shared rooms available in Baner,2025-01-29
31,Pricing,Shared room in Baner: ₹8522/month,2025-01-08
32,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-08
33,Pricing,Shared room in Baner: ₹13736/month,2025-02-03
34,Offers,₹2000 off for 6-month stays,2025-01-05
35,Availability,6 Executive rooms available in Pimple Saudagar,2025-01-17
36,Pricing,Private room in Talwade: ₹11516/month,2025-01-18
37,Offers,₹2000 off for 6-month stays,2025-01-18
38,Offers,Free first-week meals,2025-01-11
39,Offers,Free first-week meals,2025-01-08
40,Availability,1 Shared rooms available in Pimple Saudagar,2025-01-21
41,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Talwade, Kharadi",2025-01-06
42,Availability,10 Shared rooms available in Kharadi,2025-01-31
43,Locations,"PGs available in Hinjawadi, Pimple Saudagar",2025-01-17
44,Offers,₹2000 off for 6-month stays,2025-01-28
45,Availability,8 Private rooms available in Baner,2025-01-06
46,Offers,₹2000 off for 6-month stays,2025-02-03
47,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner, Hinjawadi, Talwade",2025-01-11
48,Locations,"PGs available in Talwade, Baner",2025-01-25
49,Pricing,Private room in Talwade: ₹9926/month,2025-01-14
50,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar",2025-01-19
51,Offers,10% discount for new customers,2025-01-13
52,Availability,8 Private rooms available in Talwade,2025-01-23
53,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-15
54,Pricing,Executive room in Hinjawadi: ₹10790/month,2025-01-09
55,Locations,"PGs available in Kharadi, Baner",2025-01-23
56,Pricing,Shared room in Talwade: ₹8113/month,2025-01-07
57,Availability,9 Shared rooms available in Pimple Saudagar,2025-01-27
58,Locations,"PGs available in Hinjawadi, Talwade, Kharadi",2025-01-21
59,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-13
60,Availability,5 Executive rooms available in Pimple Saudagar,2025-01-12
61,Offers,Free first-week meals,2025-01-10
62,Locations,"PGs available in Baner, Pimple Saudagar, Talwade, Kharadi",2025-01-11
63,Availability,4 Executive rooms available in Pimple Saudagar,2025-01-04
64,Pricing,Shared room in Baner: ₹15445/month,2025-01-07
65,Pricing,Executive room in Kharadi: ₹19041/month,2025-01-09
66,Pricing,Shared room in Talwade: ₹9517/month,2025-01-22
67,Availability,3 Executive rooms available in Baner,2025-01-21
68,Locations,"PGs available in Kharadi, Baner, Talwade, Pimple Saudagar, Hinjawadi",2025-01-28
69,Availability,4 Shared rooms available in Pimple Saudagar,2025-01-05
70,Pricing,Shared room in Baner: ₹19108/month,2025-01-21
71,Offers,Free first-week meals,2025-01-26
